generation,min_loss,min_loss_val,med_loss,med_size,med_complexity,med_num_params,med_dim
0,392.51,435.824,3643.7,17,43,8,6
1,374.556,392.92,766.707,16,36,8,7
2,324.917,282.617,456.686,16,37,9,7
3,324.162,288.729,432.502,16,35,8,7
4,324.162,288.729,406.799,16,35,9,7
5,308.617,221.687,395.762,15,34,8,7
6,304.699,252.734,385.248,15,32,8,7
7,291.918,279.987,373.901,15,32,8,7
8,289.658,316.191,370.121,14,31,8,7
9,285.483,282.595,365.346,14,30,7,7
10,285.483,282.595,363.132,14,29,7,7
11,276.299,308.263,358.794,14,29,7,7
12,268.226,309.23,358.625,13,29,7,7
13,268.032,309.237,346.374,13,27,7,6
14,251.583,297.597,341.294,12,26,7,6
15,251.464,368.905,335.465,11,21,5,5
16,249.863,297.636,339.628,11,21,5,6
17,247.817,323.147,335.785,11,22,6,6
18,239.221,346.04,329.701,11,21,5,6
19,237.187,306.92,329.341,10,20,5,6
20,235.616,335.215,331.701,10,20,5,6
21,233.082,305.421,332.323,10,20,4,6
22,227.114,306.258,330.51,9,18,4,5
23,226.493,305.21,332.323,8,16,3,5
24,226.243,304.764,328.629,8,16,3,5
25,219.387,276.371,326.234,8,15,3,4
26,217.038,301.574,330.065,7,14,3,4
27,216.27,301.662,326.257,7,16,3,4
28,207.802,257.366,320.729,6,13,3,4
29,207.693,257.312,325.439,5,10,2,4
30,207.624,257.284,320.73,5,9,2,4
31,207.483,267.047,320.729,4,7,1,3
32,204.759,264.646,320.729,4,7,1,3
33,203.724,263.57,320.729,4,7,1,4
34,203.266,263.002,321.93,4,6,1,3
35,203.047,262.671,328.213,4,6,1,3
36,202.939,262.465,353.358,4,6,1,3
37,202.939,262.465,344.825,4,5,1,3
38,202.885,262.332,347.312,4,4,0,3
39,202.858,262.241,330.43,4,4,0,3
40,202.858,262.241,342.452,3,3,0,3
41,202.072,259.575,350.026,4,4,0,3
42,202.043,259.482,328.364,4,6,1,3
43,202.027,259.416,347.038,4,4,0,3
44,202.013,259.286,328.533,4,6,1,3
45,202.013,259.286,311.512,4,6,1,3
46,202.013,259.286,319.34,4,6,1,3
47,202.013,259.286,316.761,4,6,1,3
48,202.013,259.286,319.34,4,6,1,3
49,202.013,259.286,340.112,4,6,1,3
50,202.013,259.286,319.17,4,6,1,4
51,201.409,232.827,315.525,4,6,1,3
52,201.409,232.827,330.019,5,9,1,4
53,201.409,232.827,307.616,4,8,1,4
54,199.896,237.3,310.263,4,8,1,4
55,199.896,237.3,325.566,9,20,4,5
56,199.896,237.296,307.978,5,11,2,4
57,199.896,237.296,328.464,4,8,1,4
58,198.306,227.521,323.624,4,8,1,4
59,198.306,227.521,307.97,5,13,2,4
60,198.306,227.521,317.733,9,20,4,5
61,198.306,227.521,291.323,11,21,5,6
62,198.306,227.521,286.757,11,21,5,6
63,198.306,227.521,286.757,12,22,5,7
64,198.306,227.521,287.222,12,22,5,7
65,198.306,227.521,286.757,12,22,5,7
66,198.306,227.521,284.356,11,21,5,6
67,198.306,227.521,286.757,11,21,5,6
68,198.306,227.521,286.757,11,21,5,6
69,198.306,227.521,286.757,12,22,5,7
70,198.306,227.521,286.757,12,22,5,7
71,198.306,227.521,286.757,13,23,5,7
72,198.306,227.521,286.757,12,22,5,7
